,game_ID,game_date,TO_1,three_m1,three_a1,ts_1,diff_1,TO_2,three_m2,three_a2,ts_2,diff_2,TO_3,three_m3,three_a3,ts_3,diff_3,ts_final,home_ppg,home_oppg,away_ppg,away_oppg
0,21801230,2019-04-10,2,7,13,69,9,7,20,33,149,25,14,28,52,211,15,267.0,114.7,110.5,114.2,115.3
1,21801206,2019-04-07,6,5,15,54,4,14,11,32,109,11,21,18,47,167,5,223.0,114.7,110.5,110.7,106.7
2,21801175,2019-04-03,9,9,18,58,2,13,12,28,121,3,22,15,45,155,17,205.0,114.7,110.5,103.5,106.1
3,21801106,2019-03-25,4,8,18,58,4,6,15,35,124,0,11,22,56,185,5,292.0,114.7,110.5,112.2,112.3
4,21801093,2019-03-23,4,9,16,60,4,10,15,31,115,3,14,20,44,181,3,229.0,114.7,110.5,107.0,107.3
5,21801073,2019-03-20,8,4,19,43,9,13,12,36,117,13,20,20,52,184,18,244.0,114.7,110.5,108.9,110.1
6,21801058,2019-03-18,4,3,10,59,3,13,8,25,103,7,24,19,43,160,16,204.0,114.7,110.5,108.0,104.7
7,21800991,2019-03-09,3,3,11,47,1,9,7,23,113,19,13,16,38,179,25,247.0,114.7,110.5,107.5,116.8
8,21800976,2019-03-07,10,4,14,61,1,19,9,29,119,3,23,12,49,168,2,250.0,114.7,110.5,114.5,111.1
9,21800862,2019-02-13,2,9,19,64,2,3,14,41,125,3,8,25,60,189,1,236.0,114.7,110.5,117.7,111.2
10,21800816,2019-02-07,4,6,12,65,3,12,10,21,127,13,16,17,37,186,6,245.0,114.7,110.5,111.7,110.0
11,21800803,2019-02-05,10,7,13,64,4,16,11,26,117,7,23,15,40,173,15,226.0,114.7,110.5,105.7,105.9
12,21800763,2019-01-30,5,7,16,72,18,13,15,38,132,16,24,22,54,189,29,237.0,114.7,110.5,111.7,106.5
13,21800734,2019-01-26,6,7,16,70,10,15,12,29,127,1,21,17,43,183,3,231.0,114.7,110.5,113.3,119.4
14,21800677,2019-01-18,6,6,14,61,3,12,12,30,132,16,15,14,46,190,18,240.0,114.7,110.5,115.4,116.8
15,21800662,2019-01-16,2,8,13,56,4,6,13,24,117,7,7,18,36,185,15,241.0,114.7,110.5,104.5,114.1
16,21800628,2019-01-11,2,7,14,64,10,5,12,29,119,21,14,20,54,169,33,223.0,114.7,110.5,110.7,111.8
17,21800615,2019-01-09,10,5,15,59,1,18,8,23,107,5,23,14,33,180,10,236.0,114.7,110.5,104.9,113.4
18,21800597,2019-01-07,5,5,12,60,0,11,8,26,107,1,16,14,42,162,10,212.0,114.7,110.5,104.6,113.8
19,21800582,2019-01-05,5,9,19,60,0,9,12,33,105,13,18,19,52,163,9,211.0,114.7,110.5,113.9,109.1
20,21800575,2019-01-04,7,5,15,56,0,12,11,33,119,5,17,17,48,180,6,220.0,114.7,110.5,114.5,111.1
21,21800540,2018-12-30,13,3,11,51,11,20,8,28,111,29,25,14,43,173,39,224.0,114.7,110.5,115.2,112.5
22,21800534,2018-12-29,4,5,13,57,3,10,10,25,108,8,16,17,41,176,10,220.0,114.7,110.5,117.7,111.2
23,21800495,2018-12-23,4,3,11,52,2,11,9,30,114,10,17,15,46,168,8,239.0,114.7,110.5,108.9,110.1
24,21800476,2018-12-21,7,9,15,59,7,16,14,34,104,6,23,20,48,151,15,210.0,114.7,110.5,111.7,106.5
25,21800465,2018-12-19,13,2,12,35,1,18,9,26,99,5,30,16,40,145,3,191.0,114.7,110.5,103.5,106.1
26,21800427,2018-12-14,12,7,14,51,5,14,11,26,108,8,19,20,42,180,2,250.0,114.7,110.5,114.4,108.4
27,21800385,2018-12-08,9,5,14,57,3,18,8,26,104,2,29,11,38,161,1,218.0,114.7,110.5,112.5,114.0
28,21800366,2018-12-06,11,6,11,43,25,17,9,26,103,21,24,12,39,146,28,194.0,114.7,110.5,107.5,116.8
29,21800329,2018-11-30,4,7,14,64,12,14,12,27,121,15,20,18,42,176,6,225.0,114.7,110.5,110.7,106.7
